Number,Type,Name,Registration Point,Filename
52,bitmap,obj_leaf_5,"(-6, 102)",
53,bitmap,obj_leaf_6,"(-8, 94)",
54,bitmap,obj_leaf_7,"(-13, 88)",
55,bitmap,obj_leaf_8,"(-18, 84)",
56,bitmap,obj_leaf_9,"(-23, 77)",
57,bitmap,obj_leaf_10,"(-29, 65)",
58,bitmap,obj_leaf_11,"(-29, 65)",
59,bitmap,obj_floater1_1,"(14, 76)",
60,bitmap,obj_floater1_2,"(15, 78)",
61,bitmap,obj_floater1_3,"(16, 80)",
62,bitmap,obj_floater1_4,"(12, 68)",
63,bitmap,obj_flies_1,"(16, 49)",
64,bitmap,obj_flies_2,"(11, 52)",
65,bitmap,obj_flies_3,"(10, 58)",
66,bitmap,obj_flies_4,"(5, 54)",
67,bitmap,obj_flies_5,"(4, 42)",
68,bitmap,obj_floater1_5,"(15, 71)",
69,bitmap,obj_floater1_6,"(17, 75)",
70,bitmap,obj_steam1,"(7, 15)",
71,bitmap,obj_steam2,"(6, 56)",
72,palette,pal_npc_60_,"(0, 0)",
73,bitmap,npc_60_1,"(25, 92)",
74,bitmap,obj_steam3,"(5, 76)",
75,bitmap,obj_steam4,"(0, 80)",
76,bitmap,obj_steam5,"(-2, 82)",
77,bitmap,obj_steam6,"(-3, 85)",
78,bitmap,obj_steam7,"(-3, 88)",
79,bitmap,obj_steam8,"(-7, 92)",
80,bitmap,obj_smoke_1,"(264, 288)",
81,bitmap,obj_smoke_2,"(276, 305)",
82,bitmap,obj_smoke_3,"(281, 324)",
83,bitmap,obj_smoke_4,"(281, 335)",
84,bitmap,obj_smoke_5,"(281, 341)",
85,bitmap,obj_smoke_6,"(276, 350)",
86,bitmap,obj_smoke_7,"(273, 354)",
87,bitmap,obj_smoke_8,"(268, 356)",
88,bitmap,obj_smoke_9,"(265, 361)",
89,bitmap,obj_smoke_10,"(1141, 1613)",
90,bitmap,obj_steam9,"(7, 15)",
91,bitmap,npc_66_1,"(20, 76)",
92,bitmap,npc_66_2,"(20, 76)",
93,bitmap,npc_66_3,"(20, 76)",
94,bitmap,npc_66_4,"(20, 76)",
95,bitmap,npc_66_5,"(20, 76)",
96,bitmap,npc_66_6,"(20, 76)",
97,bitmap,npc_66_7,"(20, 76)",
98,bitmap,npc_66_8,"(20, 76)",
99,bitmap,npc_66_9,"(20, 76)",
100,bitmap,npc_66_10,"(20, 76)",
101,bitmap,npc_66_11,"(20, 76)",
102,bitmap,npc_60_2,"(25, 92)",
103,bitmap,npc_60_3,"(25, 92)",
104,bitmap,npc_60_4,"(25, 92)",
105,bitmap,npc_60_5,"(25, 92)",
106,bitmap,npc_60_6,"(25, 92)",
107,bitmap,npc_60_7,"(25, 92)",
108,bitmap,npc_60_8,"(25, 92)",
109,bitmap,npc_60_9,"(25, 92)",
110,bitmap,npc_60_10,"(25, 92)",
111,bitmap,button_1,"(36, 70)",
112,bitmap,item_plates,"(62, 73)",
113,palette,pal_npc_68_,"(0, 0)",
114,bitmap,npc_68_1,"(55, 163)",
115,bitmap,npc_68_2,"(55, 163)",
116,bitmap,npc_68_3,"(55, 163)",
117,bitmap,npc_68_4,"(55, 163)",
118,bitmap,npc_68_5,"(55, 163)",
119,bitmap,npc_68_6,"(55, 163)",
120,bitmap,npc_68_7,"(55, 163)",
121,bitmap,npc_68_8,"(55, 163)",
122,bitmap,npc_68_9,"(55, 163)",
123,bitmap,npc_68_10,"(55, 163)",
124,bitmap,npc_68_11,"(55, 163)",
125,bitmap,npc_68_12,"(55, 163)",
126,bitmap,npc_68_13,"(55, 163)",
127,bitmap,npc_68_14,"(55, 163)",
128,bitmap,npc_68_15,"(55, 163)",
129,bitmap,npc_68_16,"(55, 163)",
130,bitmap,npc_68_17,"(55, 163)",
131,bitmap,npc_68_18,"(55, 163)",
132,bitmap,npc_68_19,"(55, 163)",
133,bitmap,npc_68_20,"(55, 163)",
134,bitmap,npc_68_21,"(55, 163)",
135,bitmap,npc_68_22,"(55, 163)",
136,bitmap,npc_68_23,"(55, 163)",
137,bitmap,npc_68_24,"(55, 163)",
138,bitmap,npc_68_25,"(55, 163)",
139,bitmap,npc_68_26,"(55, 163)",
140,bitmap,npc_68_27,"(55, 163)",
141,bitmap,npc_68_28,"(55, 163)",
142,bitmap,npc_68_29,"(55, 163)",
143,bitmap,npc_68_30,"(55, 163)",
144,bitmap,npc_68_31,"(55, 163)",
145,bitmap,npc_68_32,"(55, 163)",
146,bitmap,npc_68_33,"(55, 163)",
147,bitmap,npc_68_34,"(55, 163)",
148,bitmap,npc_68_35,"(55, 163)",
149,bitmap,npc_68_shd,"(66, 163)",
